Event,Date,Time,Venue,City,State,Genre,Sub-Genre,Segment,Performer,Min Price,Max Price,Sales Status,On-Sale Date,Promoter,Ticket URL
Fan Appreciation Night | Winnipeg Jets vs. Anaheim Ducks,2025-04-16,18:00:00,Canada Life Centre,Winnipeg,Manitoba,Hockey,NHL,Sports,Winnipeg Jets,68.5,293.5,onsale,2024-09-06T17:00:00Z,NHL REGULAR SEASON,https://www.ticketmaster.ca/fan-appreciation-night-winnipeg-jets-vs-winnipeg-manitoba-04-16-2025/event/1100610C7CDC0F6F
Pinstripe Pass * New York Yankees v. Kansas City Royals,2025-04-16,19:05:00,Yankee Stadium,Bronx,New York,Baseball,MLB,Sports,New York Yankees,15.0,15.0,onsale,2024-09-13T14:00:00Z,MLB REGULAR SEASON,https://www.ticketmaster.com/pinstripe-pass-new-york-yankees-v-bronx-new-york-04-16-2025/event/1D00611CCE245ACD
New York Yankees v. Kansas City Royals * Premium Seating *,2025-04-16,19:05:00,Yankee Stadium,Bronx,New York,Baseball,MLB,Sports,New York Yankees,400.0,1775.0,onsale,2024-09-13T14:00:00Z,MLB REGULAR SEASON,https://www.ticketmaster.com/new-york-yankees-v-kansas-city-bronx-new-york-04-16-2025/event/1D00611CCCEB59D2
Hamilton (NY),2025-04-16,13:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-16-2025/event/Z1r9uZrrZbpZ1Ave_f7
Hamilton (NY),2025-04-16,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-16-2025/event/Z1r9uZrrZbpZ1Ave_og
Harry Potter and the Cursed Child,2025-04-16,19:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6x3
Harry Potter and the Cursed Child,2025-04-16,13:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6xo
Hamilton (Touring),2025-04-16,19:30:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOk
Hamilton,2025-04-16,13:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7ok0M
Hamilton,2025-04-16,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7ok0U
